,item_type,Flavours
1430,SKU#:66645,Orange Breeze
3624,SKU#:66645e,None
1461,SKU#:66645e,Berry Frost
1152,SKU#:66645e,Orange Breeze
843,SKU#:66645e,Kiwi Berry Mist
225,SKU#:66645e,Chilled Cherry Pomegranate
534,SKU#:66645e,Iced Grape
785,SKU#:66670,nan
2199,SKU#:66781,nan
3652,SKU#:66794,nan
1248,SKU#:66838,nan
2060,SKU#:66855,None
1133,SKU#:66855,Berry Frost
206,SKU#:66855,Iced Grape
1442,SKU#:66855,Orange Breeze
824,SKU#:66855,Kiwi Berry Mist
515,SKU#:66855,Chilled Cherry Pomegranate
3007,SKU#:66855e,None
535,SKU#:66855e,Kiwi Berry Mist
1462,SKU#:66855e,Chilled Cherry Pomegranate
1153,SKU#:66855e,Berry Frost
844,SKU#:66855e,Orange Breeze
226,SKU#:66855e,Iced Grape
3355,SKU#:66884,nan
573,SKU#:66887,nan
1340,SKU#:66893,nan
3811,SKU#:66899,nan
3971,SKU#:66903,nan
3665,SKU#:66905,nan
3968,SKU#:66906,nan
732,SKU#:66910,nan
149,SKU#:66912,nan
1388,SKU#:66916,nan
3252,SKU#:66918,nan
