item_id,flavour
67510,None
67510,White Chocolate Peanut Butter
67510,Birthday Cake
67510,Fruity Cereal
67510p12,None
67510p12,Fruity Cereal
67510p12,Birthday Cake
67510p12,White Chocolate Peanut Butter
67581,nan
67581e,nan
67612,nan
67769,nan
67798,nan
67801,nan
7037301,nan
7037401p5,nan
7085102,nan
7157775,nan
7157975,nan
7158201,nan
7161301,nan
7517583,nan
ENSURG-2,nan
ENSURG-3,nan
ENSURG-4,nan
ENSURG-5,nan
FSMTS50,nan
